rx_bytes,tx_bytes,rx_packets,tx_packets,ram_usage,cpu_usage,time
44921,33376,321,309,11403264,272591200,2023-08-12 10:29:46.186969+00:00
46085,34247,328,316,11403264,273489700,2023-08-12 10:29:47.190784+00:00
46085,34247,328,316,11403264,273590100,2023-08-12 10:29:48.193323+00:00
46085,34247,328,316,11403264,273685100,2023-08-12 10:29:49.195828+00:00
46085,34247,328,316,11403264,273787300,2023-08-12 10:29:50.198031+00:00
46085,34247,328,316,11403264,273881900,2023-08-12 10:29:51.200900+00:00
47930,35653,342,330,11403264,275250800,2023-08-12 10:29:52.203462+00:00
47930,35653,342,330,11403264,275357100,2023-08-12 10:29:53.206049+00:00
47930,35653,342,330,11403264,275466600,2023-08-12 10:29:54.209094+00:00
47930,35653,342,330,11403264,275566900,2023-08-12 10:29:55.211656+00:00
47930,35653,342,330,11403264,275658400,2023-08-12 10:29:56.213915+00:00
49094,36536,349,337,11403264,276424400,2023-08-12 10:29:57.216243+00:00
49094,36536,349,337,11403264,276578600,2023-08-12 10:29:58.218397+00:00
49094,36536,349,337,11403264,276669500,2023-08-12 10:29:59.220909+00:00
49094,36536,349,337,11403264,276759100,2023-08-12 10:30:00.223781+00:00
49094,36536,349,337,11403264,276851400,2023-08-12 10:30:01.226275+00:00
50939,37950,363,351,11526144,278816600,2023-08-12 10:30:02.228718+00:00
50939,37950,363,351,11403264,278927000,2023-08-12 10:30:03.231333+00:00
50939,37950,363,351,11403264,279024000,2023-08-12 10:30:04.233540+00:00
50939,37950,363,351,11403264,279128300,2023-08-12 10:30:05.236340+00:00
50939,37950,363,351,11403264,279222100,2023-08-12 10:30:06.238794+00:00
52103,38833,370,358,11403264,280345100,2023-08-12 10:30:07.240958+00:00
52103,38833,370,358,11403264,280441500,2023-08-12 10:30:08.243544+00:00
52103,38833,370,358,11403264,280536100,2023-08-12 10:30:09.246409+00:00
52103,38833,370,358,11403264,280625300,2023-08-12 10:30:10.249063+00:00
52103,38833,370,358,11403264,280721800,2023-08-12 10:30:11.251930+00:00
53948,40253,384,372,11526144,282140600,2023-08-12 10:30:12.254757+00:00
53948,40253,384,372,11403264,282236900,2023-08-12 10:30:13.257381+00:00
53948,40253,384,372,11403264,282334200,2023-08-12 10:30:14.259711+00:00
53948,40253,384,372,11403264,282425800,2023-08-12 10:30:15.263027+00:00
53948,40253,384,372,11403264,282514700,2023-08-12 10:30:16.265618+00:00
55112,41140,391,379,11403264,283474800,2023-08-12 10:30:17.268411+00:00
55112,41140,391,379,11403264,283567900,2023-08-12 10:30:18.271240+00:00
55112,41140,391,379,11403264,283664100,2023-08-12 10:30:19.274428+00:00
55112,41140,391,379,11403264,283751400,2023-08-12 10:30:20.277121+00:00
55112,41140,391,379,11403264,283838700,2023-08-12 10:30:21.279738+00:00
56957,42568,405,393,11403264,285066600,2023-08-12 10:30:22.282213+00:00
56957,42568,405,393,11403264,285158300,2023-08-12 10:30:23.284437+00:00
56957,42568,405,393,11403264,285254900,2023-08-12 10:30:24.287164+00:00
56957,42568,405,393,11403264,285343200,2023-08-12 10:30:25.289639+00:00
56957,42568,405,393,11403264,285452600,2023-08-12 10:30:26.291974+00:00
58121,43441,412,400,11403264,286538700,2023-08-12 10:30:27.294872+00:00
58121,43441,412,400,11403264,286651900,2023-08-12 10:30:28.297217+00:00
58121,43441,412,400,11403264,286738800,2023-08-12 10:30:29.299568+00:00
58121,43441,412,400,11403264,286840600,2023-08-12 10:30:30.302254+00:00
58121,43441,412,400,11403264,286925000,2023-08-12 10:30:31.304671+00:00
59966,44865,426,414,11403264,288431900,2023-08-12 10:30:32.307647+00:00
59966,44865,426,414,11403264,288533000,2023-08-12 10:30:33.310726+00:00
59966,44865,426,414,11403264,288633000,2023-08-12 10:30:34.313058+00:00
59966,44865,426,414,11403264,288725300,2023-08-12 10:30:35.315642+00:00
59966,44865,426,414,11403264,288812900,2023-08-12 10:30:36.318517+00:00
61130,45734,433,421,11403264,289737300,2023-08-12 10:30:37.321445+00:00
