2023-05-28T21:37:00.794048489Z Service `hwdrivers' needs non existent service `dev'
2023-05-28T21:37:00.794088845Z Service `machine-id' needs non existent service `dev'
2023-05-28T21:37:00.794198130Z  * Caching service dependencies ... [ ok ]
2023-05-28T21:37:00.796754948Z Runlevel: sysinit
2023-05-28T21:37:00.796782630Z Dynamic Runlevel: hotplugged
2023-05-28T21:37:00.796788201Z Dynamic Runlevel: needed/wanted
2023-05-28T21:37:00.796791236Z Dynamic Runlevel: manual
2023-05-28T21:37:00.802970282Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/blkio/tasks: Read-only file system
2023-05-28T21:37:00.803007873Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpu/tasks: Read-only file system
2023-05-28T21:37:00.803012191Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpuacct/tasks: Read-only file system
2023-05-28T21:37:00.803015407Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpuset/tasks: Read-only file system
2023-05-28T21:37:00.803368368Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/devices/tasks: Read-only file system
2023-05-28T21:37:00.803403073Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/freezer/tasks: Read-only file system
2023-05-28T21:37:00.803408423Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/hugetlb/tasks: Read-only file system
2023-05-28T21:37:00.803412240Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/memory/tasks: Read-only file system
2023-05-28T21:37:00.803415065Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/net_cls/tasks: Read-only file system
2023-05-28T21:37:00.803421247Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/net_prio/tasks: Read-only file system
2023-05-28T21:37:00.803424814Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/perf_event/tasks: Read-only file system
2023-05-28T21:37:00.803432869Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/pids/tasks: Read-only file system
2023-05-28T21:37:00.803460051Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/rdma/tasks: Read-only file system
2023-05-28T21:37:00.803499194Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/systemd/tasks: Read-only file system
2023-05-28T21:37:00.932806515Z  * Starting sshd ... [ ok ]
2023-05-28T21:37:10.975729843Z [IOT][2023-05-28 21:37:10,975][INFO] starting random version...
2023-05-28T21:37:10.978708393Z [IOT][2023-05-28 21:37:10,978][INFO] Server started http://localhost:8090
2023-05-28T21:37:11.072036614Z [WORM][2023-05-28 21:37:11,071][INFO] Agent in run mode
2023-05-28T21:37:11.075193549Z [WORM][2023-05-28 21:37:11,075][INFO] Agent initialized...
2023-05-28T21:39:04.448336377Z [WORM][2023-05-28 21:39:04,448][INFO] Running started...
2023-05-28T21:39:04.469952280Z [WORM][2023-05-28 21:39:04,469][INFO] Running started...
2023-05-28T21:39:04.971226812Z [WORM][2023-05-28 21:39:04,970][INFO] fetching info...
2023-05-28T21:39:05.472104758Z [WORM][2023-05-28 21:39:05,471][INFO] fetching info...
2023-05-28T21:39:05.972776036Z [WORM][2023-05-28 21:39:05,972][INFO] fetching info...
2023-05-28T21:39:06.473486438Z [WORM][2023-05-28 21:39:06,473][INFO] fetching info...
2023-05-28T21:39:06.974184065Z [WORM][2023-05-28 21:39:06,973][INFO] fetching info...
2023-05-28T21:39:07.475033706Z [WORM][2023-05-28 21:39:07,474][INFO] pinging...
2023-05-28T21:39:07.975612373Z [WORM][2023-05-28 21:39:07,975][INFO] Idling...
2023-05-28T21:39:12.982172357Z [WORM][2023-05-28 21:39:12,981][INFO] Idling...
2023-05-28T21:39:13.983601856Z [WORM][2023-05-28 21:39:13,983][INFO] Idling...
2023-05-28T21:39:21.476773543Z [WORM][2023-05-28 21:39:21,476][INFO] fetching info...
2023-05-28T21:39:21.476848584Z [WORM][2023-05-28 21:39:21,476][INFO] fetching info...
2023-05-28T21:39:21.476936439Z [WORM][2023-05-28 21:39:21,476][INFO] fetching info...
2023-05-28T21:39:21.476991241Z [WORM][2023-05-28 21:39:21,476][INFO] fetching info...
2023-05-28T21:39:21.477005949Z [WORM][2023-05-28 21:39:21,476][INFO] fetching info...
2023-05-28T21:39:21.477062955Z [WORM][2023-05-28 21:39:21,476][INFO] fetching info...
2023-05-28T21:39:21.477138496Z [WORM][2023-05-28 21:39:21,477][INFO] fetching info...
2023-05-28T21:39:21.477285193Z [WORM][2023-05-28 21:39:21,477][INFO] fetching info...
2023-05-28T21:39:21.477350356Z [WORM][2023-05-28 21:39:21,477][INFO] fetching info...
2023-05-28T21:39:21.477436738Z [WORM][2023-05-28 21:39:21,477][INFO] fetching info...
2023-05-28T21:39:21.477506198Z [WORM][2023-05-28 21:39:21,477][INFO] fetching info...
2023-05-28T21:39:21.477574657Z [WORM][2023-05-28 21:39:21,477][INFO] fetching info...
2023-05-28T21:39:21.477680716Z [WORM][2023-05-28 21:39:21,477][INFO] fetching info...
