2023-05-28T21:19:35.791035454Z Service `hwdrivers' needs non existent service `dev'
2023-05-28T21:19:35.791067284Z Service `machine-id' needs non existent service `dev'
2023-05-28T21:19:35.791115226Z  * Caching service dependencies ... [ ok ]
2023-05-28T21:19:35.792401790Z Runlevel: sysinit
2023-05-28T21:19:35.792420595Z Dynamic Runlevel: hotplugged
2023-05-28T21:19:35.792424362Z Dynamic Runlevel: needed/wanted
2023-05-28T21:19:35.792426456Z Dynamic Runlevel: manual
2023-05-28T21:19:35.797203722Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/blkio/tasks: Read-only file system
2023-05-28T21:19:35.797246502Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpu/tasks: Read-only file system
2023-05-28T21:19:35.797252824Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpuacct/tasks: Read-only file system
2023-05-28T21:19:35.797256160Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpuset/tasks: Read-only file system
2023-05-28T21:19:35.797260067Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/devices/tasks: Read-only file system
2023-05-28T21:19:35.797308096Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/freezer/tasks: Read-only file system
2023-05-28T21:19:35.797332662Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/hugetlb/tasks: Read-only file system
2023-05-28T21:19:35.797361536Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/memory/tasks: Read-only file system
2023-05-28T21:19:35.797653626Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/net_cls/tasks: Read-only file system
2023-05-28T21:19:35.797677721Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/net_prio/tasks: Read-only file system
2023-05-28T21:19:35.797685435Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/perf_event/tasks: Read-only file system
2023-05-28T21:19:35.797735068Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/pids/tasks: Read-only file system
2023-05-28T21:19:35.797759965Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/rdma/tasks: Read-only file system
2023-05-28T21:19:35.797788609Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/systemd/tasks: Read-only file system
2023-05-28T21:19:35.926718549Z  * Starting sshd ... [ ok ]
2023-05-28T21:19:45.968215763Z [IOT][2023-05-28 21:19:45,968][INFO] starting basic version...
2023-05-28T21:19:45.970356090Z [IOT][2023-05-28 21:19:45,970][INFO] Server started http://localhost:8090
2023-05-28T21:19:46.061050288Z [WORM][2023-05-28 21:19:46,060][INFO] Agent in run mode
2023-05-28T21:19:46.065577041Z [WORM][2023-05-28 21:19:46,065][INFO] Agent initialized...
2023-05-28T21:20:53.843421920Z [WORM][2023-05-28 21:20:53,843][INFO] Running started...
2023-05-28T21:20:53.867100535Z [WORM][2023-05-28 21:20:53,866][INFO] Running started...
2023-05-28T21:20:54.368305684Z [WORM][2023-05-28 21:20:54,368][INFO] fetching info...
2023-05-28T21:20:54.869143396Z [WORM][2023-05-28 21:20:54,868][INFO] fetching info...
2023-05-28T21:20:55.369947823Z [WORM][2023-05-28 21:20:55,369][INFO] fetching info...
2023-05-28T21:20:55.870712867Z [WORM][2023-05-28 21:20:55,870][INFO] fetching info...
2023-05-28T21:20:56.371451368Z [WORM][2023-05-28 21:20:56,371][INFO] fetching info...
2023-05-28T21:20:56.872225584Z [WORM][2023-05-28 21:20:56,871][INFO] fetching info...
2023-05-28T21:20:57.372987412Z [WORM][2023-05-28 21:20:57,372][INFO] fetching info...
2023-05-28T21:20:57.873764088Z [WORM][2023-05-28 21:20:57,873][INFO] fetching info...
2023-05-28T21:20:58.374556652Z [WORM][2023-05-28 21:20:58,374][INFO] fetching info...
2023-05-28T21:20:58.875323972Z [WORM][2023-05-28 21:20:58,875][INFO] fetching info...
2023-05-28T21:20:59.376061450Z [WORM][2023-05-28 21:20:59,375][INFO] fetching info...
2023-05-28T21:20:59.876909885Z [WORM][2023-05-28 21:20:59,876][INFO] fetching info...
2023-05-28T21:21:00.377681862Z [WORM][2023-05-28 21:21:00,377][INFO] fetching info...
2023-05-28T21:21:00.878440632Z [WORM][2023-05-28 21:21:00,878][INFO] fetching info...
2023-05-28T21:21:01.379157273Z [WORM][2023-05-28 21:21:01,378][INFO] fetching info...
2023-05-28T21:21:01.879918965Z [WORM][2023-05-28 21:21:01,879][INFO] fetching info...
2023-05-28T21:21:02.380647609Z [WORM][2023-05-28 21:21:02,380][INFO] fetching info...
2023-05-28T21:21:02.881643296Z [WORM][2023-05-28 21:21:02,881][INFO] fetching info...
2023-05-28T21:21:03.382231149Z [WORM][2023-05-28 21:21:03,382][INFO] scanning...
2023-05-28T21:21:05.229731720Z [WORM][2023-05-28 21:21:05,229][INFO] pinging...
2023-05-28T21:21:07.888307548Z [WORM][2023-05-28 21:21:07,887][INFO] Idling...
2023-05-28T21:21:19.231546753Z [WORM][2023-05-28 21:21:19,231][INFO] fetching info...
